"Name","ProvisionedSpaceGB"
"wshctt1d","207.18599131982773542404174804"
"wsactt1c","183.18272712361067533493041992"
"Ctxtst1h","188.16496676485985517501831054"
"srpobf1m","137.18440199829638004302978516"
"wsvtst1d","166.16364003904163837432861328"
"svctst1b","137.18559426348656415939331055"
"svctst1a","137.18539931438863277435302735"
"ICPPCDC08","308.16192898154258728027343750"
"Msgdev1d","104.16402823291718959808349610"
"wsvprd2c","120.18679479602724313735961914"
"wmrctt1a","187.18474015593528747558593750"
"spdprd1b","668.18720438424497842788696289"
"icdussetsodb01","2389.8976509114727377891540528"
"wrpctt2a","103.18470884952694177627563476"
"ctxdcprd1a","216.16760060098022222518920898"
"vtxctt1c","108.16400621924549341201782227"
"Msgctt1f","104.16392290964722633361816406"
"Msgpcmtst2a","104.18467811215668916702270508"
"icdwppvueweb-4","216.18441503308713436126708985"
"ctxdcprd1b","216.16815376374870538711547852"
"wsvdev1d","166.16429144982248544692993164"
"icdusvidanfs01","66.182255846448242664337158203"
"wrptst2a","137.18433789908885955810546875"
"wsitst2e","190.18640234321355819702148438"
"wshctt2f","207.18585722334682941436767578"
"wrpobf1a","137.18534818850457668304443360"
"hmrdev1a","187.18471523467451333999633789"
"ICPPCDC10","308.16161986626684665679931640"
"hmrtst2a","187.18560708127915859222412110"
"icdwdpvueweb-2","207.16750809643417596817016602"
"us-iowac-corvids43","22.163658211007714271545410156"
"wrpctt1a","103.18456448800861835479736328"
"wshtst2g","157.18657427746802568435668946"
"icpavmg52","22.162164351902902126312255860"
"icdwpcertvcs01","602.18443819321691989898681641"
"BldPrd1L","460.18849926441907882690429687"
"icdwc2vuetds-5","130.18423547595739364624023438"
"Webctt1g","130.18460492137819528579711914"
"wsvctt2e","116.18504210934042930603027344"
"wshdev1g","182.18652277626097202301025390"
"svcdev1a","137.18654077127575874328613282"
"wsvprd2p","170.16531008295714855194091797"
"Msgtst1d","104.16411521006375551223754882"
"icdupecomweb02","437.16134065203368663787841797"
"spdprd1a","668.18794643413275480270385742"
"wsvprd2q","170.16531530115753412246704102"
"Msgpcmtst1a","104.18443150445818901062011719"
"srpdev1m","149.18883357197046279907226563"
"wsvprd1q","166.16315285209566354751586914"
"Ctxplicprd1a_old","66.162375276908278465270996094"
"wsvprd2o","170.16529703047126531600952149"
"wsvprd2r","170.16531243361532688140869141"
"webctt1j","130.18227778654545545578002930"
"ICPPCAPP21","482.16218453366309404373168946"
"icdudsetsweb01","78.183985709212720394134521484"
"icdupgcmsapp49","124.16601212415844202041625977"
"wshtst1e","157.18619885761290788650512696"
"svcctt1c","312.18361727055162191390991210"
"us-iowac-corvids34","22.163648124784231185913085938"
"wshtst1g","157.18631886970251798629760743"
"icdutlinxaws01","52.161075624637305736541748047"
"icdupcoreppt02","58.163315581157803535461425781"
"fsaprd1p","4882.1845761341974139213562011"
"pcmwebtst2h","214.18410913925617933273315429"
"icdupvcdvcn002","1560.1718404926359653472900390"
"ctxprdv1a_old","99.16295612882822751998901367"
"us-iowac-corvids49","22.163658567704260349273681640"
"icdupalgoapp02","608.22221258003264665603637696"
"Xvtxdev1c-ws-11-05-20-delete-TASK0529891","108.16315404698252677917480469"
"icduiadixapp71","152.16150500159710645675659179"
"Ctxtst1i","188.16498373914510011672973633"
"srpctt1m","133.18405920360237360000610352"
"wshtst2e","157.18627594411373138427734375"
"wsactt2a","183.18260949291288852691650390"
"wsitst1e","190.18710670992732048034667969"
"wsactt2b","183.18238323181867599487304687"
"svcctt1b","212.18448139261454343795776367"
"us-iowac-corvids94","23.367779609747231006622314454"
"hubctt2b","216.18438116740435361862182617"
"wrptst1a","149.18874483555555343627929688"
"ctxprd2x","216.16776790004223585128784180"
"webctt2p","183.18444881029427051544189453"
"webctt1o","183.18455341178923845291137695"
"ctxprdv2a_old","99.16295612603425979614257812"
"icdupsplkapp02","448.18611929193139076232910157"
"icdwpcertsdb07","946.1821196610108017921447754"
"Xvtxctt1d-vertex-ui-25-02-20-delete-TASK0515841","108.16311065759509801864624023"
"us-iowac-ifb-log","168.16197403334081172943115234"
"Msgpcmdev1a","104.18446811009198427200317383"
"svcdev1b","137.18561805691570043563842774"
"vtxtst1c","108.16409983020275831222534180"
"icdupvcdvcc002","24.189323771744966506958007812"
"icdupcorerpt01","801.1615278767421841621398926"
"wsvctt1h","166.16343003418296575546264649"
"wsvprd1p","170.16547120921313762664794922"
"icdwdpvuedbs-2","1514.1637104256078600883483887"
"wsvctt1g","166.16356798820197582244873047"
"wmrdev1a","187.18445027340203523635864258"
"webctt2o","183.18444608151912689208984375"
"Msgtst2d","104.16391331981867551803588868"
"ctxprd2y","216.16773881111294031143188477"
"icdwppvueapp-4","154.18941759224981069564819336"
"icdupgcmsapp43","166.16350387129932641983032226"
"webctt1p","183.18456478510051965713500976"
"fsaprd2a","186.18449201807379722595214844"
"svcctt1a","212.18462179321795701980590820"
"vtxtst2c","108.16459051426500082015991211"
"dbsdev1i","758.18462891224771738052368164"
"Msgctt1d","104.16402289830148220062255860"
"Ctxtstv1a","174.16661829594522714614868164"
"wsvprd2e","120.18687126133590936660766602"
"fsaprd1o","232.18408808950334787368774414"
"icdupsetsweb01","118.16345659364014863967895508"
"bldgedprd1d","316.18788186740130186080932617"
"wsvtst1b","136.18483462557196617126464844"
"Sqaprd1a","580.16348960902541875839233398"
"wsvdev1c","136.18271754775196313858032227"
"wsvctt2g","166.16364235058426856994628907"
"wshctt2d","207.18599302414804697036743164"
"dbsprd1u","5258.1882008984684944152832031"
"wmrtst1a","187.18426494393497705459594727"
"wmrprd1b","187.18464323226362466812133789"
"wshctt1f","207.18610932119190692901611328"
"spfctt1a","662.19176777917891740798950195"
"wshctt1e","207.18598217796534299850463867"
"srptst1m","149.18831859249621629714965821"
"Ctxplicprd1a","188.16458547394722700119018555"
"icdwppromsdb07","9306.171446362510323524475098"
"wshdev1e","182.18619891162961721420288086"
"wsvprd2f","120.18708374351263046264648438"
"wsvprd1f","120.18648482207208871841430664"
"iccpwprod1","16.662199369631707668304443359"
"us-iowac-corvids95","22.163654405623674392700195313"
"wsvtst2d","166.16354770772159099578857422"
"Cisco Health Check old","54.180630933493375778198242188"
"bldprd1p","632.16975442878901958465576172"
"webctt1i","130.18238042015582323074340820"
"wsvprd1c","120.18657512497156858444213868"
"wshtst1f","157.18622049596160650253295899"
"icdupvmtuapp02","96.17251416854560375213623047"
"icdupgmpxdkb01","29.161239275708794593811035156"
"wsvprd1r","170.16549010388553142547607422"
"wsvprd2d","120.18702023848891258239746094"
"ctxdctst1b","204.16428469866514205932617188"
"hmrtst1a","187.18469047266989946365356446"
